iter	Passed	Remaining
0	362	1675224
1	607	1404464
2	848	1307642
3	1103	127552544	1339	123830755	1581	121808566	1934	1276657
7	2084	120351988	2336	119885299	2616	1208008110	2774	1164085111	3001	1154453112	3355	1190864113	3570	1176383114	3776	1161139115	4021	1158999116	4248	1152187117	4534	1161172118	4748	1151603119	5019	1156309
20	5303	1163262
21	5572	1166485
22	5982	1197495
23	6248	1198480
24	6598	1214673
25	6873	1216276
26	7150	1218271
27	7320	1202404
28	7587	1202954
29	7893	1209528
30	8101	1201078
31	8514	1222575
32	8822	1228160
33	9089	1227830
34	9338	1225262
35	9576	1221267
36	9860	1223253
37	10054	1214165
38	10227	1203148339	10514	1205728440	10708	1197757441	10981	1198775442	11189	1192886443	11464	1194171444	11654	1186643445	11886	1183718446	12161	1185077
47	12380	1181091448	12601	1177370449	12784	1170255550	13040	1170051551	13244	1165252552	13476	1163053553	13705	1160654554	13962	1160655555	14183	1157756556	14438	115755757	14749	1161925858	14983	11600959559	15161	1154060660	15429	115496161	15718	1157331
62	15976	1157415
63	16223	1156713
64	16486	1157069
65	16682	1152866666	16970	1155006767	17286	1158936868	17542	1158846969	17747	1155397070	17983	1154007171	18253	1154807272	18506	1154527373	18700	1150587474	18980	1151987575	19157	1147177676	19425	1147877777	19635	1145137878	19936	1147747979	20225	1149578080	20422	1146162
81	20652	1144680
82	20898	1144127
83	21154	1144111
84	21416	1144415
85	21648	1143108686	22660	1182514887	23336	1203688888	23713	1209098
89	24038	1211814
90	24393	1215942
91	24652	1215193
92	24947	1216269393	25202	1215328
94	25480	1215549995	25763	1215999696	26015	1214932
97	26275	1214317
98	26720	1222109
99	26989	1221813
100	27245	1220928
101	27461	1218251
102	27737	1218302
103	28002	12178421104	28197	1214361
105	28471	12143181106	28752	1214598
107	28924	1210268
108	29209	1210729
109	29445	1209121
110	29704	1208534
111	29966	1208026
112	30285	1209815
113	30555	1209625
114	30803	1208563
115	31019	1206299
116	31207	1202968
117	31472	1202626
118	31672	11998391119	31915	11986971120	32115	11959811121	32415	11969861122	32618	11944211123	32926	11957131124	33202	11958111125	33451	11949651126	33691	11937781127	33901	11915681128	34266	11948091129	34535	11946791130	34764	11931321131	35113	11957141132	35427	1197072
133	35740	1198377
134	35934	1195702
135	36276	1197913
136	36551	1197940
137	36749	1195416
138	36974	1193821
139	37250	1193888
140	37426	11907391141	37650	11891821142	37890	11881111143	38237	1190400
144	38502	11901121145	38716	11882921146	38886	11851241147	39137	11844471148	39386	11836981149	39696	11848161150	39920	11833461151	40210	11838281152	40442	11826261153	40670	11812991154	40941	11812401155	41217	1181295
156	41520	1182157
157	41702	1179549
158	41941	1178579
159	42185	1177764
160	42440	1177266
161	42668	1176016
162	42952	1176332
163	43145	1174146
164	43373	1172924
165	43611	1171987
166	43885	1172028
167	44075	1169833
168	44288	1168282
169	44531	1167507
170	44865	1169116
171	45076	1167535
172	45310	1166557
173	45547	11656541174	45784	11647451175	46048	1164556
176	46280	1163561
177	46476	11616471178	46729	1161190
179	46952	11599951180	47206	11595618181	47425	11582831182	47645	11570361183	47836	11550891184	48064	11540711185	48279	11527211186	48528	11522211187	48751	11510911188	49048	11517311189	49346	1152365
190	49565	1151173
191	49809	1150557
192	50004	11488019193	50240	11480119194	50464	11469519195	50807	1148613
196	51012	11471211197	51267	1146782
198	51463	11451351199	51760	11457162200	52033	11457822201	52295	11455742202	52526	11447232203	52714	11429322204	52926	11416682205	53180	11413192206	53381	11398382207	53623	11392462208	53856	11384512209	54082	11375262210	54292	11362912211	54558	1136210212	54717	1133919
213	54946	113307822214	55251	11338132215	55478	1132942216	55679	11315442217	55968	1131952
218	56170	1130590
219	56431	1130426
220	56597	1128373
221	56890	1128842
222	57208	1129805
223	57402	1128310
224	57592	1126755
225	57823	1126023
226	58015	1124536
227	58234	1123560
228	58509	1123696
229	58708	1122344
230	59054	1123816
